Year,State ID,State,Trade Value
2006,1,Aguascalientes,7878134245
2006,2,Baja California,1.43616E+11
2006,3,Baja California Sur,718305390
2006,4,Campeche,1092313091
2006,5,Coahuila de Zaragoza,44575753870
2006,6,Colima,144063080
2006,7,Chiapas,348195532
2006,8,Chihuahua,1.57717E+11
2006,9,Ciudad de México,3.08977E+11
2006,10,Durango,3922983687
2006,11,Guanajuato,14374812655
2006,12,Guerrero,140652656
2006,13,Hidalgo,1130816484
2006,14,Jalisco,80284299818
2006,15,Estado de México,66299747340
2006,16,Michoacán de Ocampo,3814840350
2006,17,Morelos,1329653464
2006,18,Nayarit,64833796
2006,19,Nuevo León,1.13637E+11
2006,20,Oaxaca,193362105
2006,21,Puebla,18591619643
2006,22,Querétaro,19648979505
2006,23,Quintana Roo,1399808855
2006,24,San Luis Potosí,9737893022
2006,25,Sinaloa,4349135805
2006,26,Sonora,38863288538
2006,27,Tabasco,555209067
2006,28,Tamaulipas,1.02821E+11
2006,29,Tlaxcala,1909906813
2006,30,Veracruz de Ignacio de la Llave,6397136657
2006,31,Yucatán,6260467962
2006,32,Zacatecas,401493111
2006,33,No Informado,73140423425
2007,1,Aguascalientes,9376277023
2007,2,Baja California,1.72828E+11
2007,3,Baja California Sur,857142949
2007,4,Campeche,925019213
2007,5,Coahuila de Zaragoza,45610561480
2007,6,Colima,217357365
2007,7,Chiapas,397337810
2007,8,Chihuahua,1.68958E+11
2007,9,Ciudad de México,3.53126E+11
2007,10,Durango,3591968560
2007,11,Guanajuato,17124281712
2007,12,Guerrero,110443480
2007,13,Hidalgo,1940211020
2007,14,Jalisco,97384887625
2007,15,Estado de México,71205029590
2007,16,Michoacán de Ocampo,5787124353
2007,17,Morelos,982177901
2007,18,Nayarit,59144488
2007,19,Nuevo León,1.22534E+11
2007,20,Oaxaca,249965647
2007,21,Puebla,19666956595
2007,22,Querétaro,22926005090
2007,23,Quintana Roo,1619385760
2007,24,San Luis Potosí,12986907256
2007,25,Sinaloa,4961036985
2007,26,Sonora,39997394516
2007,27,Tabasco,905487486
2007,28,Tamaulipas,1.14333E+11
2007,29,Tlaxcala,1657650209
2007,30,Veracruz de Ignacio de la Llave,7609402755
2007,31,Yucatán,6544189442
2007,32,Zacatecas,1215754233
2007,33,No Informado,52373272912
2008,1,Aguascalientes,9902774308
2008,2,Baja California,1.80432E+11
2008,3,Baja California Sur,802797398
2008,4,Campeche,825851342
2008,5,Coahuila de Zaragoza,48011417603
2008,6,Colima,256511701
2008,7,Chiapas,409526227
2008,8,Chihuahua,1.62123E+11
2008,9,Ciudad de México,4.02745E+11
2008,10,Durango,3811724741
2008,11,Guanajuato,18759319219
2008,12,Guerrero,72501030
2008,13,Hidalgo,2065925565
2008,14,Jalisco,1.10372E+11
2008,15,Estado de México,73933466838
2008,16,Michoacán de Ocampo,7388616055
2008,17,Morelos,1572758876
2008,18,Nayarit,83426571
2008,19,Nuevo León,1.34709E+11
2008,20,Oaxaca,338258042
2008,21,Puebla,22129610324
2008,22,Querétaro,23732662861
2008,23,Quintana Roo,1583218479
2008,24,San Luis Potosí,14245981113
2008,25,Sinaloa,5808920530
2008,26,Sonora,40715359214
2008,27,Tabasco,1446884824
2008,28,Tamaulipas,1.2729E+11
2008,29,Tlaxcala,1783347956
2008,30,Veracruz de Ignacio de la Llave,9158032443
2008,31,Yucatán,5782645644
2008,32,Zacatecas,2409918148
2008,33,No Informado,47413164298
2009,1,Aguascalientes,8138457202
2009,2,Baja California,1.45823E+11
2009,3,Baja California Sur,589160182
2009,4,Campeche,818392513
2009,5,Coahuila de Zaragoza,34616926319
2009,6,Colima,224467163
2009,7,Chiapas,542306584
2009,8,Chihuahua,1.42449E+11
2009,9,Ciudad de México,3.03519E+11
2009,10,Durango,3646216989
2009,11,Guanajuato,16072048626
2009,12,Guerrero,48194755
2009,13,Hidalgo,1141969680
2009,14,Jalisco,98942456449
2009,15,Estado de México,54275079532
2009,16,Michoacán de Ocampo,4208055751
2009,17,Morelos,1453026990
2009,18,Nayarit,47969535
2009,19,Nuevo León,1.01153E+11
2009,20,Oaxaca,403870677
2009,21,Puebla,18712278700
2009,22,Querétaro,19224074772
2009,23,Quintana Roo,1045139080
2009,24,San Luis Potosí,10866660363
2009,25,Sinaloa,5051296884
2009,26,Sonora,31811073655
2009,27,Tabasco,2374992729
2009,28,Tamaulipas,1.01997E+11
2009,29,Tlaxcala,1112256655
2009,30,Veracruz de Ignacio de la Llave,7300531930
2009,31,Yucatán,5542582332
2009,32,Zacatecas,1684621833
2009,33,No Informado,30273716728
2010,1,Aguascalientes,11896360451
2010,2,Baja California,1.66331E+11
2010,3,Baja California Sur,804692462
2010,4,Campeche,791820304
2010,5,Coahuila de Zaragoza,49851517184
2010,6,Colima,329858951
2010,7,Chiapas,537412565
2010,8,Chihuahua,2.06229E+11
2010,9,Ciudad de México,4.27773E+11
2010,10,Durango,5121419338
2010,11,Guanajuato,22705465774
2010,12,Guerrero,58421993
2010,13,Hidalgo,983499804
2010,14,Jalisco,1.2499E+11
2010,15,Estado de México,66264433877
2010,16,Michoacán de Ocampo,5204016827
2010,17,Morelos,1817152060
2010,18,Nayarit,48219847
2010,19,Nuevo León,1.33684E+11
2010,20,Oaxaca,202146745
2010,21,Puebla,27910942479
2010,22,Querétaro,28692550992
2010,23,Quintana Roo,1205687226
2010,24,San Luis Potosí,16334746278
2010,25,Sinaloa,6299663319
2010,26,Sonora,38481572028
2010,27,Tabasco,1168659077
2010,28,Tamaulipas,1.18778E+11
2010,29,Tlaxcala,1539784398
2010,30,Veracruz de Ignacio de la Llave,8593447529
2010,31,Yucatán,6772237532
2010,32,Zacatecas,2029157982
2010,33,No Informado,45361867464
2011,1,Aguascalientes,13702449145
2011,2,Baja California,1.74297E+11
2011,3,Baja California Sur,1125256571
2011,4,Campeche,884304405
2011,5,Coahuila de Zaragoza,60242581395
2011,6,Colima,457456899
2011,7,Chiapas,552487860
2011,8,Chihuahua,2.17376E+11
2011,9,Ciudad de México,5.43138E+11
2011,10,Durango,5790121334
2011,11,Guanajuato,28705123606
2011,12,Guerrero,43194625
2011,13,Hidalgo,1725519935
2011,14,Jalisco,1.23359E+11
2011,15,Estado de México,73335399381
2011,16,Michoacán de Ocampo,7215118339
2011,17,Morelos,2169257402
2011,18,Nayarit,60915411
2011,19,Nuevo León,1.68358E+11
2011,20,Oaxaca,244635925
2011,21,Puebla,35917574001
2011,22,Querétaro,36903060406
2011,23,Quintana Roo,1382513709
2011,24,San Luis Potosí,20559204534
2011,25,Sinaloa,7496374854
2011,26,Sonora,46107649229
2011,27,Tabasco,1367302068
2011,28,Tamaulipas,1.21284E+11
2011,29,Tlaxcala,1678665420
2011,30,Veracruz de Ignacio de la Llave,11542603335
2011,31,Yucatán,7053542551
2011,32,Zacatecas,3086743840
2011,33,No Informado,53868978586
2012,1,Aguascalientes,14294166625
2012,2,Baja California,1.85001E+11
2012,3,Baja California Sur,1182149270
2012,4,Campeche,1052596943
2012,5,Coahuila de Zaragoza,68464496016
2012,6,Colima,286055040
2012,7,Chiapas,850630024
2012,8,Chihuahua,2.35136E+11
2012,9,Ciudad de México,5.6159E+11
2012,10,Durango,7047804590
2012,11,Guanajuato,33716073748
2012,12,Guerrero,25867174
2012,13,Hidalgo,1809811235
2012,14,Jalisco,1.33214E+11
2012,15,Estado de México,78320102510
2012,16,Michoacán de Ocampo,7049527074
2012,17,Morelos,2779489871
2012,18,Nayarit,90422016
2012,19,Nuevo León,1.80063E+11
2012,20,Oaxaca,161280638
2012,21,Puebla,42267493600
2012,22,Querétaro,43141042675
2012,23,Quintana Roo,1284339328
2012,24,San Luis Potosí,22772570998
2012,25,Sinaloa,9006554647
2012,26,Sonora,49431889955
2012,27,Tabasco,2254115267
2012,28,Tamaulipas,1.27333E+11
2012,29,Tlaxcala,1681658431
2012,30,Veracruz de Ignacio de la Llave,11585827693
2012,31,Yucatán,7201505982
2012,32,Zacatecas,4176926262
2012,33,No Informado,60531865364
2013,1,Aguascalientes,15711744143
2013,2,Baja California,1.93645E+11
2013,3,Baja California Sur,1486404337
2013,4,Campeche,1090086783
2013,5,Coahuila de Zaragoza,68932706302
2013,6,Colima,309788066
2013,7,Chiapas,770605024
2013,8,Chihuahua,2.49621E+11
2013,9,Ciudad de México,5.83013E+11
2013,10,Durango,7232153569
2013,11,Guanajuato,38217891712
2013,12,Guerrero,48104125
2013,13,Hidalgo,1933613512
2013,14,Jalisco,1.39871E+11
2013,15,Estado de México,81868020787
2013,16,Michoacán de Ocampo,7956292650
2013,17,Morelos,2957806793
2013,18,Nayarit,142356385
2013,19,Nuevo León,1.7694E+11
